,image,head_pose,drowsiness,emotion,label,result
0,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0106.jpg,1.0,Active!!,Frustrated,0.4,Not Engaged
1,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0375.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
2,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0285.jpg,1.0,Active!!,Frustrated,0.4,Not Engaged
3,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0074.jpg,1.0,Active!!,Frustrated,0.4,Not Engaged
4,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0077.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
5,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0273.jpg,1.0,Active!!,Frustrated,0.4,Not Engaged
6,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0307.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
7,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0058.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
8,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0255.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
9,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0128.jpg,,Active!!,Frustrated,0.25,Not Engaged
10,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0364.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
11,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0246.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
12,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0337.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
13,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0208.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
14,../input/studentengagement/Student-engagement-dataset/Engaged/frustrated/0141.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
